Date,Category,Amount,Currency,Wallet
9/10/2023,Taxi,-10,MYR,Cash
7/10/2023,Restaurants,-32,MYR,Cash
3/10/2023,Pharmacy,-2,MYR,Cash
2/10/2023,Parking Fees,-4,MYR,Cash
29/09/2023,Home Services,-46,MYR,Cash
29/09/2023,Transfer,100,MYR,Cash
28/09/2023,Parking Fees,-1,MYR,Cash
25/09/2023,Groceries,-9,MYR,Cash
23/09/2023,Money Gift,-10,MYR,Cash
22/09/2023,Snacks,-16,MYR,Cash
20/09/2023,Restaurants,-8,MYR,Cash
19/09/2023,Withdrawal,-20,MYR,Cash
19/09/2023,Restaurants,-26,MYR,Cash
17/09/2023,Parking Fees,-12,MYR,Cash
17/09/2023,Transfer,100,MYR,Cash
15/09/2023,Charity,-10,MYR,Cash
13/09/2023,TnG,-50,MYR,Cash
9/9/2023,Café,-2,MYR,Cash
9/9/2023,Parking Fees,-2,MYR,Cash
8/9/2023,Restaurants,-49,MYR,Cash
8/9/2023,Transfer,50,MYR,Cash
4/9/2023,Snacks,-5,MYR,Cash
3/9/2023,Restaurants,-8,MYR,Cash
1/9/2023,Café,-13,MYR,Cash
1/9/2023,Transfer,100,MYR,Cash
1/9/2023,Snacks,-12,MYR,Cash
31/08/2023,Restaurants,-2,MYR,Cash
27/08/2023,Parking Fees,-6,MYR,Cash
26/08/2023,Restaurants,-4,MYR,Cash
20/08/2023,Snacks,-10,MYR,Cash
12/8/2023,Snacks,-8,MYR,Cash
10/8/2023,Restaurants,-8,MYR,Cash
3/8/2023,TnG,-60,MYR,Cash
31/07/2023,Family,-3,MYR,Cash
21/07/2023,Café,-10,MYR,Cash
21/07/2023,Parking Fees,-5,MYR,Cash
19/07/2023,Other Income,6,MYR,Cash
19/07/2023,Charity,-10,MYR,Cash
18/07/2023,Withdrawal,-12,MYR,Cash
18/07/2023,Restaurants,-13,MYR,Cash
16/07/2023,Café,-3,MYR,Cash
13/07/2023,Restaurants,-8,MYR,Cash
13/07/2023,Transfer,150,MYR,Cash
12/7/2023,Parking Fees,-10,MYR,Cash
10/7/2023,Parking Fees,-10,MYR,Cash
2/7/2023,Parking Fees,-3,MYR,Cash
1/7/2023,Withdrawal,-11,MYR,Cash
1/7/2023,Withdrawal,-13,MYR,Cash
1/7/2023,Restaurants,-21,MYR,Cash
1/7/2023,Snacks,-11,MYR,Cash
30/06/2023,Restaurants,-8,MYR,Cash
29/06/2023,Parking Fees,-26,MYR,Cash
29/06/2023,Transfer,100,MYR,Cash
28/06/2023,Parking Fees,-10,MYR,Cash
27/06/2023,Parking Fees,-10,MYR,Cash
24/06/2023,Café,-5,MYR,Cash
21/06/2023,Restaurants,-11,MYR,Cash
16/06/2023,Vehicle Maintenance,-20,MYR,Cash
12/6/2023,Family,-10,MYR,Cash
12/6/2023,Personal Care,-2,MYR,Cash
11/6/2023,Entertainment,-6,MYR,Cash
11/6/2023,Withdrawal,-11,MYR,Cash
